UserID,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,MajorCategoryID
40059,Arlington Heights,IL,US,60005,Bachelor's,Music Composition,2009-01-01 00:00:00,7,21.0,No,No,0,0.0
41791,Oak Forest,IL,US,60452,High School,Not Applicable,1982-06-01 00:00:00,10,27.0,Yes,No,0,0.0
44505,Berwyn,IL,US,60402,,business administration,,6,16.0,,No,0,80.0
48439,Chicago,IL,US,60616,Bachelor's,Communications Management,,2,8.0,Yes,No,0,124.0
52512,Lawrenceville,IL,US,62439,High School,"Anatomy, Biology, and World Studies",,0,,No,No,0,117.0
53013,Crestwood,IL,US,60445,PhD,none,2001-05-01 00:00:00,2,10.0,Yes,No,0,0.0
59192,Joliet,IL,US,60436,High School,Not Applicable,,5,15.0,Yes,No,0,0.0
63254,Deerfield,IL,US,60015,Bachelor's,"History, General",1977-05-01 00:00:00,4,31.0,No,No,0,35.0
64557,Chicago,IL,US,60617,High School,Not Applicable,1993-06-01 00:00:00,6,12.0,Yes,Yes,5,0.0
67240,Elburn,IL,US,60119,,,,4,16.0,No,No,0,
71131,Roselle,IL,US,60172,Bachelor's,Sports Management,2000-01-01 00:00:00,8,11.0,Yes,No,0,17.0
71360,Homer Glen,IL,US,60491,Bachelor's,Mechanical Engineering,2012-05-01 00:00:00,5,6.0,Yes,No,0,148.0
72056,Chicago,IL,US,60613,Bachelor's,Medical Billing Kaplan Continuing Education,,4,20.0,No,No,0,131.0
74454,Litchfield,IL,US,62056,,General Studies,2009-05-01 00:00:00,2,3.0,No,No,0,117.0
75250,Chicago,IL,US,60647,High School,Not Applicable,2007-06-01 00:00:00,2,4.0,No,No,0,0.0
75632,Hazel Crest,IL,US,60429,High School,Not Applicable,2010-05-01 00:00:00,5,2.0,No,No,0,0.0
76623,Elk Grove Village,IL,US,60007,High School,Not Applicable,1989-06-01 00:00:00,5,16.0,,No,0,0.0
78945,East Moline,IL,US,61244,,,,4,12.0,Yes,No,0,
79235,Crystal Lake,IL,US,60014,Bachelor's,Microbiology,,3,6.0,,No,0,0.0
79717,Alton,IL,US,62002,High School,Not Applicable,2009-05-01 00:00:00,2,3.0,No,No,0,0.0
84604,Downers Grove,IL,US,60516,Associate's,,,4,13.0,Yes,No,0,
85000,South Holland,IL,US,60473,,,,4,24.0,Yes,No,0,
91966,Bradley,IL,US,60915,High School,Not Applicable,,4,10.0,Yes,No,0,0.0
92020,Lake Forest,IL,US,60045,Bachelor's,Paralegal Studies,2010-12-01 00:00:00,3,7.0,Yes,No,0,117.0
92299,Chicago,IL,US,60614,Bachelor's,Business Management,2009-12-01 00:00:00,4,6.0,No,No,0,21.0
95536,Cicero,IL,US,60804,,,,5,22.0,No,No,0,
99661,Lansing,IL,US,60438,High School,,1986-06-01 00:00:00,3,10.0,No,No,0,
102003,Glenview,IL,US,60026,Master's,Advertising,,6,5.0,,No,0,81.0
102996,Waukegan,IL,US,60085,Bachelor's,Medical Assistant,2011-01-01 00:00:00,2,4.0,No,No,0,30.0
103627,Darien,IL,US,60561,,,2012-04-01 00:00:00,6,20.0,Yes,No,0,
104210,Morris,IL,US,60450,Bachelor's,Physical Education,2009-01-01 00:00:00,8,14.0,Yes,Yes,5,131.0
106344,Chicago,IL,US,60633,High School,Not Applicable,1982-01-01 00:00:00,3,30.0,,No,0,0.0
106385,Alden,IL,US,60001,Bachelor's,Electronics and Communication,2009-05-01 00:00:00,7,1.0,Yes,No,0,194.0
107829,Glenview,IL,US,60025,Bachelor's,Automotive Management and Service,1984-12-01 00:00:00,1,27.0,,No,0,116.0
110704,Spring Grove,IL,US,60081,Bachelor's,Mechanical Engineering Technology,1991-01-01 00:00:00,6,16.0,Yes,Yes,6,148.0
111372,Chicago,IL,US,60622,Bachelor's,Finance,2003-01-01 00:00:00,10,9.0,Yes,No,0,79.0
112091,Bolingbrook,IL,US,60440,,,,0,,No,Yes,3,
112143,Elgin,IL,US,60124,High School,Not Applicable,,4,24.0,No,No,0,0.0
112575,Melrose Park,IL,US,60160,,Paralegal Studies,2011-01-01 00:00:00,3,7.0,Yes,No,0,117.0
112963,Chicago,IL,US,60652,PhD,Organizational Leadership,2012-04-01 00:00:00,3,13.0,Yes,No,0,76.0
115382,Island Lake,IL,US,60042,High School,General Studies,1981-06-01 00:00:00,7,19.0,Yes,Yes,10,117.0
115398,Chicago,IL,US,60657,,,,5,9.0,Yes,Yes,4,
115818,Rockford,IL,US,61107,Associate's,Building Construction Technology,2012-03-01 00:00:00,3,15.0,Yes,No,0,114.0
116822,Oak Park,IL,US,60302,Master's,MBA in Healthcare,1971-06-01 00:00:00,6,30.0,Yes,No,0,189.0
117001,Urbana,IL,US,61801,Master's,Operations Management and Supervision,2002-01-01 00:00:00,10,15.0,Yes,Yes,8,34.0
120018,Chicago,IL,US,60640,Bachelor's,Psychology,,4,8.0,Yes,No,0,173.0
120895,Chicago,IL,US,60626,,,,9,23.0,No,Yes,6,
120929,Chicago,IL,US,60640,Bachelor's,Economics & Management,1989-06-01 00:00:00,9,22.0,Yes,Yes,5,17.0
122419,Orland Hills,IL,US,60487,Bachelor's,Mathematics and Computer Science,1980-01-01 00:00:00,9,28.0,Yes,No,0,98.0
124796,Oswego,IL,US,60543,Bachelor's,Political Science,2003-05-01 00:00:00,6,12.0,Yes,No,0,98.0
126435,Naperville,IL,US,60565,Master's,CPA Certification,1997-07-01 00:00:00,7,38.0,Yes,Yes,25,0.0
126506,Berwyn,IL,US,60402,Bachelor's,,,5,13.0,Yes,No,0,
127535,Chicago,IL,US,60617,,General Studies,1995-06-01 00:00:00,7,11.0,No,No,0,117.0
128371,Chicago,IL,US,60646,Associate's,"Travel & Airlines, Computer Science",,6,23.0,Yes,No,0,98.0
129590,Montgomery,IL,US,60538,,pursuing Associate Degree in Business Adminstration,2012-12-01 00:00:00,2,13.0,Yes,No,0,21.0
130701,Chicago,IL,US,60620,Associate's,Business,2007-03-01 00:00:00,3,21.0,Yes,No,0,21.0
130968,Shorewood,IL,US,60404,,,,5,26.0,No,Yes,200,
131488,Forest Park,IL,US,60130,Bachelor's,Accounting,1983-05-01 00:00:00,4,13.0,,No,0,44.0
131733,Rockford,IL,US,61102,,Electronics and Avionics,,3,14.0,Yes,Yes,4,194.0
132309,Joliet,IL,US,60435,High School,Social Studies,2000-07-01 00:00:00,10,8.0,Yes,Yes,20,117.0
132861,Streamwood,IL,US,60107,Associate's,Computer Engineering and Business Management,,8,14.0,Yes,No,0,110.0
134149,Chicago,IL,US,60639,,,,0,,Yes,No,0,
135084,Westmont,IL,US,60559,Bachelor's,History,2007-05-01 00:00:00,10,9.0,Yes,Yes,15,0.0
135456,Belleville,IL,US,62221,Bachelor's,Computer Science,1983-05-01 00:00:00,1,22.0,,No,0,98.0
135679,Coal City,IL,US,60416,Associate's,Interior Design,2007-05-01 00:00:00,3,18.0,Yes,No,0,81.0
136594,Chicago,IL,US,60620,,,,5,23.0,No,No,0,
136965,Alsip,IL,US,60803,,Medical billing and coding,2009-04-01 00:00:00,5,9.0,No,No,0,126.0
137515,Saint Charles,IL,US,60174,Associate's,Math/Science,1984-05-01 00:00:00,9,21.0,No,Yes,6,98.0
138391,Oak Lawn,IL,US,60453,Bachelor's,Management and Quantitative Methods,2004-05-01 00:00:00,8,14.0,Yes,Yes,40,17.0
139987,Chicago,IL,US,60620,Bachelor's,Mathematics,2006-08-01 00:00:00,2,5.0,Yes,No,0,0.0
140358,Sherrard,IL,US,61281,Bachelor's,Science Business Management,2010-10-01 00:00:00,10,21.0,Yes,Yes,55,98.0
142419,Plainfield,IL,US,60586,High School,Not Applicable,1992-06-01 00:00:00,5,14.0,,No,0,0.0
143783,McCullom Lake,IL,US,60050,Bachelor's,Electrical Engineering,,5,31.0,Yes,No,0,179.0
144581,River Forest,IL,US,60305,Master's,Public Administration (MPA),2010-04-01 00:00:00,0,,,No,0,80.0
144982,Chicago,IL,US,60628,Master's,Psychology,2013-06-01 00:00:00,4,5.0,No,Yes,2,173.0
145110,Elgin,IL,US,60123,Bachelor's,Economics,1989-01-01 00:00:00,3,20.0,Yes,Yes,80,0.0
145456,Elmhurst,IL,US,60126,,art,,6,17.0,Yes,No,0,0.0
146958,Chicago,IL,US,60609,Bachelor's,Visual Communications,2003-09-01 00:00:00,3,7.0,Yes,Yes,3,124.0
147511,Aurora,IL,US,60506,Master's,,,4,16.0,No,No,0,
148710,Elk Grove Village,IL,US,60007,Bachelor's,"Business Administration, Management",2004-12-01 00:00:00,3,5.0,Yes,No,0,80.0
150842,Round Lake,IL,US,60073,Bachelor's,Practical Internet Marketing,2011-03-01 00:00:00,10,18.0,Yes,Yes,50,23.0
151512,Chicago,IL,US,60624,,,2004-01-01 00:00:00,10,19.0,Yes,No,0,
152324,Plano,IL,US,60545,Bachelor's,Elementary Education,1991-06-01 00:00:00,8,12.0,,Yes,25,131.0
152889,East Peoria,IL,US,61611,Bachelor's,Health Administration/Health Information Systems,2009-02-01 00:00:00,6,9.0,Yes,No,0,63.0
153314,Dupo,IL,US,62239,Bachelor's,Accounting and Business/Management,2014-01-01 00:00:00,9,6.0,No,Yes,15,44.0
154188,Oak Lawn,IL,US,60453,Master's,Accounting and Financial Management,2008-12-01 00:00:00,6,18.0,,No,0,69.0
154543,Waukegan,IL,US,60085,High School,Not Applicable,,4,15.0,No,No,0,0.0
156573,Aurora,IL,US,60506,High School,Not Applicable,1993-06-01 00:00:00,5,14.0,Yes,No,0,0.0
157274,Carol Stream,IL,US,60188,High School,Not Applicable,,3,18.0,No,No,0,0.0
157594,Rock Falls,IL,US,61071,Bachelor's,Management of Technology,2005-01-01 00:00:00,5,16.0,Yes,Yes,25,128.0
158183,Lombard,IL,US,60148,,,,3,10.0,No,No,0,
159592,Woodridge,IL,US,60517,Bachelor's,,1982-05-01 00:00:00,6,23.0,,No,0,
159725,Oswego,IL,US,60543,Bachelor's,Marketing,2004-05-01 00:00:00,4,7.0,Yes,No,0,23.0
161346,Chicago,IL,US,60639,,Fine Arts,,5,8.0,Yes,No,0,111.0
161610,O Fallon,IL,US,62269,,Computer Technology/Computer Systems Technology,,8,15.0,No,No,0,110.0
161809,Streamwood,IL,US,60107,High School,,2001-06-01 00:00:00,5,12.0,,No,0,
162576,Chicago,IL,US,60640,Bachelor's,Networks and Communications Management,2003-10-01 00:00:00,6,10.0,No,No,0,124.0
162683,Buffalo Grove,IL,US,60089,Associate's,Marketing/Business,2014-01-01 00:00:00,6,10.0,No,Yes,50,21.0
164058,Chicago,IL,US,60629,,,,6,18.0,Yes,Yes,5,
165885,Chicago,IL,US,60630,Vocational,MTC Truck Driver Training,2008-10-01 00:00:00,9,13.0,No,Yes,20,136.0
166210,Westmont,IL,US,60559,High School,"Education, General",2003-01-01 00:00:00,5,10.0,Yes,No,0,131.0
167425,Freeburg,IL,US,62243,,,,0,,No,Yes,20,
169236,Chicago,IL,US,60659,Master's,Human Resources Development,2012-05-01 00:00:00,4,10.0,,No,0,49.0
169887,Chicago,IL,US,60634,Associate's,,2008-01-01 00:00:00,5,12.0,No,No,0,
170626,Homewood,IL,US,60430,Bachelor's,Accounting,2000-05-01 00:00:00,4,10.0,No,No,0,44.0
171435,Chicago,IL,US,60617,Bachelor's,English,2003-05-01 00:00:00,6,9.0,Yes,Yes,3,40.0
171659,Elk Grove Village,IL,US,60007,High School,Not Applicable,,6,12.0,No,Yes,4,0.0
172500,Chicago,IL,US,60643,Bachelor's,Business Management,2011-12-01 00:00:00,4,15.0,Yes,Yes,4,21.0
173927,Schaumburg,IL,US,60194,Bachelor's,"Business Administration and Management, General",,10,9.0,No,No,0,80.0
174918,Glen Carbon,IL,US,62034,Bachelor's,Accounting,2008-12-01 00:00:00,6,10.0,No,Yes,6,44.0
175219,Alsip,IL,US,60803,,,1973-01-01 00:00:00,5,38.0,No,No,0,
175752,Naperville,IL,US,60540,Master's,Management,,8,37.0,Yes,No,0,17.0
176529,Chicago,IL,US,60651,,,,0,,No,No,0,
176664,Chicago,IL,US,60617,High School,Not Applicable,1996-06-01 00:00:00,4,12.0,Yes,Yes,5,0.0
178952,Lynwood,IL,US,60411,Master's,Human Resources Management and Services,2009-10-01 00:00:00,5,8.0,Yes,No,0,49.0
179461,Chicago,IL,US,60654,Bachelor's,Business Management,2005-06-01 00:00:00,3,10.0,,No,0,21.0
179734,Chicago,IL,US,60636,,,,3,33.0,Yes,No,0,
179759,Chicago,IL,US,60620,Bachelor's,Marketing,2008-11-01 00:00:00,10,20.0,Yes,Yes,150,23.0
180411,Chicago,IL,US,60608,,,,6,12.0,Yes,No,0,
181181,Skokie,IL,US,60077,Master's,Educational Administration and Leadership,1999-12-01 00:00:00,8,36.0,No,Yes,30,80.0
182022,Chicago,IL,US,60626,,,,0,,No,Yes,100,
182233,Glenwood,IL,US,60425,Bachelor's,Operations Management & Information,2004-05-01 00:00:00,4,8.0,Yes,No,0,134.0
183063,Chicago,IL,US,60639,Associate's,IT/Networking,,5,8.0,No,Yes,11,0.0
183086,McHenry,IL,US,60050,,,,6,27.0,Yes,No,0,
184132,Naperville,IL,US,60565,Master's,Finance,1990-01-01 00:00:00,9,23.0,Yes,No,0,79.0
184495,Oak Park,IL,US,60304,Master's,Education,2005-11-01 00:00:00,10,7.0,Yes,No,0,131.0
185609,Chicago,IL,US,60653,,,,5,9.0,No,No,0,
185719,Frankfort,IL,US,60423,Bachelor's,Computer Science,1992-01-01 00:00:00,10,19.0,Yes,No,0,98.0
186559,Rockford,IL,US,61109,Associate's,Business Management,1985-01-01 00:00:00,5,5.0,Yes,Yes,65,21.0
186642,Chicago,IL,US,60647,Bachelor's,Technical Management,2001-08-01 00:00:00,0,,No,Yes,25,74.0
187731,Des Plaines,IL,US,60016,Master's,,2012-04-01 00:00:00,3,12.0,Yes,No,0,
190270,Bolingbrook,IL,US,60490,Bachelor's,Chemistry/Biochemistry,,6,24.0,Yes,No,0,0.0
190607,Chicago,IL,US,60618,Vocational,,2011-09-01 00:00:00,5,5.0,Yes,Yes,4,
190751,Crest Hill,IL,US,60403,Bachelor's,Finance,,5,12.0,,No,0,79.0
190834,Coal Valley,IL,US,61240,Bachelor's,Business Information Systems,2012-05-01 00:00:00,8,8.0,No,Yes,50,134.0
191108,Chicago,IL,US,60624,High School,,2002-06-01 00:00:00,4,4.0,No,No,0,
191310,Chicago,IL,US,60617,,,,0,,No,No,0,
194244,Burbank,IL,US,60459,Vocational,General coarses,1986-01-01 00:00:00,4,11.0,No,No,0,35.0
195445,Chicago,IL,US,60629,Bachelor's,,2004-06-01 00:00:00,6,3.0,No,Yes,6,
195551,Springfield,IL,US,62703,Bachelor's,Theology,1996-01-01 00:00:00,7,15.0,Yes,Yes,40,0.0
196210,Chicago,IL,US,60638,Bachelor's,EE,2002-12-01 00:00:00,5,13.0,Yes,Yes,60,0.0
196416,Chicago Ridge,IL,US,60415,Bachelor's,Business Administration,1996-01-01 00:00:00,7,24.0,Yes,No,0,80.0
196472,Chicago,IL,US,60620,,Elementary Education,1970-01-01 00:00:00,4,13.0,Yes,No,0,131.0
196742,Chicago,IL,US,60628,Master's,Healthcare Management,2010-11-01 00:00:00,3,10.0,Yes,Yes,5,17.0
197184,Carol Stream,IL,US,60188,Master's,Accounting,,6,12.0,Yes,No,0,44.0
198390,Roscoe,IL,US,61073,Master's,Project Management,2012-05-01 00:00:00,8,15.0,Yes,No,0,27.0
199187,Chicago,IL,US,60619,Bachelor's,Accounting,2011-06-01 00:00:00,2,9.0,Yes,No,0,44.0
199513,Roselle,IL,US,60172,,,,5,25.0,No,No,0,
200268,Chicago,IL,US,60619,Bachelor's,Computer Studies,2002-01-01 00:00:00,4,11.0,No,Yes,12,117.0
200713,Moro,IL,US,62067,High School,,1983-05-01 00:00:00,5,19.0,,No,0,
200892,Bolingbrook,IL,US,60440,Bachelor's,Animation,2000-06-01 00:00:00,3,11.0,No,No,0,0.0
201820,Oak Lawn,IL,US,60453,Bachelor's,Management,2001-01-01 00:00:00,3,8.0,Yes,No,0,17.0
203806,Chicago,IL,US,60618,PhD,,2011-05-01 00:00:00,3,8.0,Yes,No,0,
203872,Oak Lawn,IL,US,60453,High School,Not Applicable,1988-01-01 00:00:00,10,22.0,Yes,Yes,15,0.0
204545,Schaumburg,IL,US,60193,High School,Not Applicable,,6,17.0,Yes,No,0,0.0
206239,Hoffman Estates,IL,US,60192,,,,2,4.0,No,No,0,
207666,Chicago,IL,US,60640,Bachelor's,Public Health,2011-05-01 00:00:00,7,4.0,Yes,No,0,63.0
208151,Elmhurst,IL,US,60126,High School,high school,2010-02-01 00:00:00,3,2.0,No,No,0,167.0
208647,Wilmington,IL,US,60481,High School,Not Applicable,2002-05-01 00:00:00,5,10.0,No,No,0,0.0
209286,Chicago,IL,US,60644,Associate's,Basic and Advance Automotive Technician,1998-06-01 00:00:00,4,15.0,Yes,Yes,6,116.0
209553,Lemont,IL,US,60439,Bachelor's,Chemical Engineering,2011-05-01 00:00:00,3,5.0,,No,0,170.0
210903,Godfrey,IL,US,62035,Associate's,Business,2011-12-01 00:00:00,1,16.0,No,Yes,2,21.0
211995,Lombard,IL,US,60148,Bachelor's,Communication,1990-06-01 00:00:00,6,21.0,,No,0,194.0
212550,Plainfield,IL,US,60544,High School,"Education, General",1999-06-01 00:00:00,4,5.0,No,Yes,35,131.0
213513,Chicago,IL,US,60615,,,,4,12.0,Yes,No,0,
213633,Oak Park,IL,US,60302,,,2011-08-01 00:00:00,4,9.0,No,No,0,
213757,Chicago,IL,US,60620,High School,,2011-08-01 00:00:00,4,8.0,No,No,0,
214721,Lyons,IL,US,60534,Bachelor's,Computer Science,,5,13.0,No,Yes,12,98.0
214736,Chicago,IL,US,60649,Associate's,,2010-05-01 00:00:00,4,14.0,Yes,Yes,15,
216357,Chicago,IL,US,60647,High School,Not Applicable,1986-06-01 00:00:00,4,20.0,,No,0,0.0
219138,Plainfield,IL,US,60586,High School,Not Applicable,2010-01-01 00:00:00,3,5.0,Yes,Yes,4,0.0
219656,Bolingbrook,IL,US,60440,Bachelor's,ECONOMICS,,4,17.0,Yes,No,0,0.0
220497,Joliet,IL,US,60435,,,2001-01-01 00:00:00,5,12.0,No,No,0,
221074,Palos Heights,IL,US,60463,Master's,Homeland Security,2013-10-01 00:00:00,5,12.0,,No,0,38.0
221657,Elgin,IL,US,60123,Associate's,Emergency Medical,2000-08-01 00:00:00,3,14.0,Yes,Yes,20,30.0
222150,Skokie,IL,US,60077,Bachelor's,Organizational Management,1999-08-01 00:00:00,5,8.0,No,Yes,2,17.0
223140,Chicago,IL,US,60615,Associate's,Business Administration,2011-04-01 00:00:00,5,15.0,Yes,No,0,80.0
227501,Chicago,IL,US,60651,High School,Advanced Network Design,2006-06-01 00:00:00,6,4.0,No,Yes,4,101.0
228176,Dolton,IL,US,60419,,General Studies,,2,9.0,No,No,0,117.0
228450,Wheeling,IL,US,60090,Bachelor's,Accounting,,3,18.0,,No,0,44.0
233079,Lindenhurst,IL,US,60046,Associate's,Information Systems Application Specialist,2005-01-01 00:00:00,6,37.0,Yes,No,0,41.0
234383,Gurnee,IL,US,60031,High School,Not Applicable,1995-01-01 00:00:00,5,15.0,Yes,No,0,0.0
235014,Chicago,IL,US,60609,,business administration,1998-01-01 00:00:00,5,23.0,Yes,No,0,80.0
235955,Belleville,IL,US,62220,Associate's,Human Services Technology,2012-04-01 00:00:00,3,11.0,Yes,No,0,128.0
236065,Chicago,IL,US,60636,High School,Not Applicable,2005-06-01 00:00:00,2,3.0,No,Yes,5,0.0
236721,Chicago,IL,US,60647,Master's,Computational Finance,,5,15.0,Yes,No,0,79.0
237131,Oak Park,IL,US,60302,High School,"Child Care, and Data Processing",1992-06-01 00:00:00,1,1.0,,Yes,5,162.0
238209,South Elgin,IL,US,60177,High School,Not Applicable,1994-05-01 00:00:00,5,14.0,No,No,0,0.0
238825,Chicago,IL,US,60610,Bachelor's,Management,2011-01-01 00:00:00,5,6.0,No,No,0,17.0
240458,Brookfield,IL,US,60513,High School,"Mathematics, General",1971-01-01 00:00:00,7,39.0,No,Yes,30,35.0
240944,Chicago,IL,US,60628,,,,4,24.0,Yes,No,0,
243440,University Park,IL,US,60466,Master's,Finance,2007-09-01 00:00:00,2,12.0,,No,0,79.0
247595,Elgin,IL,US,60123,High School,Not Applicable,1983-01-01 00:00:00,5,11.0,No,No,0,0.0
248639,Naperville,IL,US,60563,Bachelor's,Accounting,1990-05-01 00:00:00,3,22.0,Yes,Yes,5,44.0
250074,Benld,IL,US,62009,Associate's,Management,2012-01-01 00:00:00,4,7.0,No,No,0,17.0
250511,Matteson,IL,US,60443,High School,Not Applicable,2002-01-01 00:00:00,7,10.0,No,No,0,0.0
252510,Chicago,IL,US,60637,,,1987-01-01 00:00:00,4,9.0,No,No,0,
253605,Wauconda,IL,US,60084,Bachelor's,Business Administration,1995-01-01 00:00:00,7,22.0,Yes,Yes,6,80.0
257453,Plainfield,IL,US,60544,Bachelor's,Science/Education,2001-05-01 00:00:00,4,13.0,,No,0,131.0
260132,McHenry,IL,US,60050,High School,,2001-03-01 00:00:00,9,12.0,Yes,Yes,25,
260666,Chicago,IL,US,60632,Associate's,Psychology,2011-01-01 00:00:00,3,4.0,No,No,0,173.0
261265,Scott AFB,IL,US,62225,,,1998-01-01 00:00:00,4,9.0,,No,0,
261589,Riverdale,IL,US,60827,Master's,Clinical Psychology,1995-06-01 00:00:00,8,14.0,No,Yes,9,99.0
263366,Chicago,IL,US,60640,Bachelor's,Communications,2006-06-01 00:00:00,6,11.0,Yes,Yes,5,124.0
263701,Chicago,IL,US,60636,Associate's,"Computer and Information Sciences, General",2002-05-01 00:00:00,3,14.0,Yes,Yes,20,134.0
265758,Caseyville,IL,US,62232,Associate's,Business Management,2007-01-01 00:00:00,4,9.0,No,Yes,8,21.0
266866,Broadview,IL,US,60155,High School,Not Applicable,,3,16.0,Yes,No,0,0.0
269054,Schaumburg,IL,US,60173,High School,Not Applicable,2002-01-01 00:00:00,4,9.0,No,No,0,0.0
270130,Waukegan,IL,US,60085,Bachelor's,Management,2008-11-01 00:00:00,2,3.0,Yes,Yes,1,17.0
270574,Homewood,IL,US,60430,,Theatre,,6,22.0,Yes,Yes,150,0.0
270692,Mount Prospect,IL,US,60056,Bachelor's,Economics,2010-06-01 00:00:00,3,3.0,Yes,No,0,0.0
271627,Granite City,IL,US,62040,High School,,1992-05-01 00:00:00,2,8.0,Yes,Yes,12,0.0
272317,Chicago,IL,US,60605,,Business,1991-06-01 00:00:00,6,21.0,Yes,No,0,21.0
273832,Chicago,IL,US,60617,Bachelor's,Chemistry,2002-01-01 00:00:00,5,14.0,Yes,No,0,0.0
274881,Chicago,IL,US,60637,Bachelor's,Visual Communications,2011-08-01 00:00:00,5,18.0,No,Yes,3,124.0
275410,Bolingbrook,IL,US,60490,Bachelor's,Finance,2008-05-01 00:00:00,2,3.0,,No,0,79.0
277006,Elburn,IL,US,60119,,,,3,15.0,Yes,No,0,
278717,Joliet,IL,US,60433,Associate's,nursing,2008-05-01 00:00:00,5,11.0,No,Yes,5,130.0
279611,Chicago,IL,US,60641,,,,5,14.0,Yes,No,0,
282213,Chicago,IL,US,60617,Bachelor's,,2011-09-01 00:00:00,3,8.0,,No,0,
284463,Chicago,IL,US,60639,High School,Not Applicable,1986-06-01 00:00:00,6,23.0,No,No,0,0.0
287436,Morton,IL,US,61550,Associate's,,1985-05-01 00:00:00,7,8.0,Yes,No,0,
287636,Buffalo Grove,IL,US,60089,Bachelor's,Psychology,2006-01-01 00:00:00,2,5.0,,No,0,173.0
289374,Oak Lawn,IL,US,60453,Associate's,Business Administration,2012-05-01 00:00:00,4,7.0,,No,0,80.0
296276,Chicago,IL,US,60624,Bachelor's,"Business Administration, Management and Operations, Other",1994-05-01 00:00:00,4,15.0,Yes,Yes,50,80.0
296655,Springfield,IL,US,62707,Associate's,LLCC,,6,11.0,No,Yes,50,0.0
297121,Chicago,IL,US,60651,,,,2,9.0,No,Yes,30,
297125,Aurora,IL,US,60504,,,,6,12.0,Yes,No,0,
298213,River Grove,IL,US,60171,Bachelor's,Business Administration,2000-01-01 00:00:00,4,12.0,,No,0,80.0
299652,Elmwood Park,IL,US,60707,High School,Not Applicable,2000-01-01 00:00:00,5,4.0,No,Yes,3,0.0
301168,Chicago,IL,US,60623,,GED,1988-05-01 00:00:00,1,6.0,No,No,0,0.0
302062,Crystal Lake,IL,US,60012,Master's,Management,1987-12-01 00:00:00,7,13.0,,No,0,17.0
